call_id,input_preview,input_length_chars,success,elapsed_s,result_keys,result_key_count,result_json_snippet,error
10,We conducted a pragmatic cluster RCT at a rural primary care dental practice in South Korea enrolling patients with eryt,694,True,7.0734,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with erythroplakia, a potentially malignant oral les",
11,We conducted a randomised controlled trial at a rural primary care dental practice in Sri Lanka enrolling patients with ,552,True,11.2556,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
12,We conducted a retrospective case-control study at a specialist maxillofacial unit in the United States enrolling patien,630,True,5.3876,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with verrucous carcinoma of the oral cavity, enrolle",
13,We conducted a cross-sectional survey at a university dental hospital in Australia enrolling patients with verrucous car,557,True,6.1258,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with verrucous carcinoma of the oral cavity, recruit",
14,We conducted a single-arm pilot study at a rural primary care dental practice in Taiwan enrolling patients with recurren,545,True,6.7588,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with recurrent aphthous stomatitis (RAS), a benign recurring oral ulcer condition""}, ""suspicious_or_malignant_lesions"": {""s",
15,We conducted a single-arm pilot study at a specialist maxillofacial unit in the United Kingdom enrolling patients with o,530,True,13.2432,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus, a chronic inflammatory oral mucosal condition, recruited from a specialist maxillofacial unit (52 ",
16,We conducted a pragmatic cluster RCT at a community oral health clinic in China enrolling patients with oral lichen plan,627,True,8.907,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus (a potentially malignant ora",
17,We conducted a randomised controlled trial at a tertiary referral cancer centre in Taiwan enrolling patients with oral l,550,True,9.0854,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia, a potentially malignant disor",
18,We conducted a single-arm pilot study at a specialist maxillofacial unit in Germany enrolling patients with recurrent ap,547,True,5.3583,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""patients with recurrent aphthous stomatitis (recurrent benign oral ulcers/canker sores)""}, ""suspicious_or_malignant_lesions"": {""sele",
19,We conducted a cross-sectional survey at a rural primary care dental practice in China enrolling patients with oral pote,712,True,8.9512,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral potentially malignant disorder (OPMD), inc",
20,We conducted a randomised controlled trial at a rural primary care dental practice in India enrolling patients with eryt,588,True,6.0742,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with erythroplakia, a potentially malignant oral dis",
21,We conducted a single-arm pilot study at a community oral health clinic in Australia enrolling patients with dental cari,648,True,13.8618,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
22,We conducted a randomised controlled trial at a community oral health clinic in South Korea enrolling patients with oral,549,True,7.8923,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia recruited from a community ora",
23,We conducted a randomised controlled trial at a municipal public health dental screening programme in Sri Lanka enrollin,613,True,9.1108,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral submucous fibrosis, a potentially malignan",
24,We conducted a retrospective case-control study at a municipal public health dental screening programme in Sri Lanka enr,573,True,5.8468,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral squamous cell carcinoma (OSCC) enrolled vi",
25,We conducted a retrospective case-control study at a community oral health clinic in the United Kingdom enrolling patien,630,True,5.7687,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral potentially malignant disorders (OPMD) rec",
26,We conducted a multi-centre observational study at a veterans' healthcare dental department in the United States enrolli,666,True,6.0556,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with verrucous carcinoma of the oral cavity; a sub-g",
27,We conducted a retrospective case-control study at a veterans' healthcare dental department in Germany enrolling patient,515,True,7.4946,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia, a potentially malignant disor",
28,We conducted a pragmatic cluster RCT at a university dental hospital in India enrolling patients with oral leukoplakia. ,602,True,7.2303,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia, including a sub-group of 222 ",
29,We conducted a single-arm pilot study at a veterans' healthcare dental department in Brazil enrolling patients with dent,666,True,16.5373,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with dental caries enrolled as high-risk adults (tobacco users) at a veterans' healthcare dental department""}, ""suspicious_",
30,We conducted a single-arm pilot study at a community oral health clinic in Sri Lanka enrolling patients with oral potent,663,True,6.3594,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral potentially malignant disorders (OPMD), st",
31,We conducted a prospective cohort study at a specialist maxillofacial unit in Germany enrolling patients with oral leuko,516,True,9.3187,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia, a potentially malignant oral ",
32,We conducted a multi-centre observational study at a veterans' healthcare dental department in Australia enrolling patie,751,True,14.6695,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""A sub-group of 297 participants with high-grade dysplasia und",
33,We conducted a prospective cohort study at a university dental hospital in India enrolling patients with oral squamous c,575,True,5.9095,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral squamous cell carcinoma (OSCC), stratified",
34,We conducted a prospective cohort study at a community oral health clinic in the United States enrolling patients with r,525,True,7.0982,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with recurrent aphthous stomatitis (recurring benign oral ulcers/canker sores)""}, ""suspicious_or_malignant_lesions"": {""sele",
35,We conducted a randomised controlled trial at a community oral health clinic in Brazil enrolling patients with recurrent,656,True,11.0281,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with recurrent aphthous stomatitis (RAS), benign oral ulcers, stratified by lesion severity; 356 participants enrolled""}, """,
36,We conducted a multi-centre observational study at a veterans' healthcare dental department in Germany enrolling patient,537,True,9.0264,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus, a chronic inflammatory oral mucosal condition; 1162 participants (190 female, 972 male; mean age 4",
37,We conducted a pragmatic cluster RCT at a community oral health clinic in India enrolling patients with oral squamous ce,657,True,5.3887,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral squamous cell carcinoma (OSCC); a subgroup",
38,We conducted a single-arm pilot study at a university dental hospital in Brazil enrolling patients with chronic periodon,539,True,9.052,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
39,We conducted a retrospective case-control study at a specialist maxillofacial unit in Germany enrolling patients with ve,551,True,6.3811,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with verrucous carcinoma of the oral cavity (n=588, ",
40,We conducted a double-blind placebo-controlled trial at a rural primary care dental practice in Sri Lanka enrolling pati,670,True,14.1416,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""568 high-risk adults with dental caries enrolled at a rural primary care dental practice in Sri Lanka""}, ""suspicious_or_malignant_le",
41,We conducted a cross-sectional survey at a university dental hospital in South Korea enrolling patients with oral lichen,526,True,11.5914,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus, a chronic inflammatory condition presenting as lesions in the oral cavity (mean age 67 years, 76.3",
42,We conducted a randomised controlled trial at a tertiary referral cancer centre in the United Kingdom enrolling patients,619,True,9.5198,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral squamous cell carcinoma (OSCC), recruited ",
43,We conducted a pragmatic cluster RCT at a specialist maxillofacial unit in the United States enrolling patients with den,704,True,16.6317,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Primary population of 656 high-risk adults with dental caries enrolled at a specialist maxillofacial unit""}, ""suspicious_or_malignan",
44,We conducted a pragmatic cluster RCT at a tertiary referral cancer centre in China enrolling patients with oral potentia,658,True,6.3203,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral potentially malignant disorder (OPMD); a s",
45,We conducted a randomised controlled trial at a community oral health clinic in Sri Lanka enrolling patients with dental,556,True,7.6365,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with dental caries (tooth decay) in high-risk adults, stratified by lesion severity, mean age 47 years""}, ""suspicious_or_ma",
46,We conducted a cross-sectional survey at a veterans' healthcare dental department in the United States enrolling patient,556,True,7.3691,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia, a potentially malignant oral ",
47,We conducted a prospective cohort study at a rural primary care dental practice in Australia enrolling patients with ver,717,True,5.9606,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with verrucous carcinoma of the oral cavity; a sub-g",
48,We conducted a prospective cohort study at a veterans' healthcare dental department in Taiwan enrolling patients with er,693,True,6.3726,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with erythroplakia, a potentially malignant oral les",
49,We conducted a cross-sectional survey at a community oral health clinic in Sri Lanka enrolling patients with recurrent a,695,True,11.0185,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with recurrent aphthous stomatitis enrolled at a community oral health clinic in Sri Lanka (n=373, mean age 22 years)""}, ""s",
50,We conducted a cross-sectional survey at a university dental hospital in the United Kingdom enrolling patients with oral,711,True,8.1889,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral submucous fibrosis, a potentially malignan",
51,We conducted a multi-centre observational study at a community oral health clinic in the United States enrolling patient,677,True,5.9125,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral squamous cell carcinoma (OSCC), with a sub",
52,We conducted a cross-sectional survey at a veterans' healthcare dental department in the United States enrolling patient,674,True,7.2835,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral submucous fibrosis (a potentially malignan",
53,We conducted a randomised controlled trial at a rural primary care dental practice in India enrolling patients with verr,556,True,6.3302,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with verrucous carcinoma of the oral cavity, recruit",
54,We conducted a double-blind placebo-controlled trial at a university dental hospital in Taiwan enrolling patients with r,621,True,5.754,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with recurrent aphthous stomatitis (canker sores), a benign oral condition; 708 participants (161 female, 547 male; mean ag",
55,We conducted a single-arm pilot study at a university dental hospital in India enrolling patients with oral submucous fi,696,True,8.3261,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral submucous fibrosis stratified by lesion se",
56,We conducted a single-arm pilot study at a rural primary care dental practice in Taiwan enrolling patients with dental c,627,True,11.7187,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""High-risk adults with 95% smokeless tobacco (betel quid) use;",
57,We conducted a cross-sectional survey at a tertiary referral cancer centre in Taiwan enrolling patients with dental cari,544,True,10.5078,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with dental caries in high-risk adults, recruited at a tertiary referral cancer centre in Taiwan, stratified by lesion seve",
58,We conducted a prospective cohort study at a municipal public health dental screening programme in China enrolling patie,548,True,6.7153,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
59,We conducted a pragmatic cluster RCT at a community oral health clinic in Brazil enrolling patients with recurrent aphth,538,True,6.2504,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with recurrent aphthous stomatitis (benign recurring oral ulcers), 329 participants, mean age 52 years, 62% female""}, ""susp",
60,We conducted a multi-centre observational study at a tertiary referral cancer centre in Germany enrolling patients with ,691,True,12.228,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
61,We conducted a prospective cohort study at a municipal public health dental screening programme in India enrolling patie,736,True,6.9988,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral potentially malignant disorders (OPMD), in",
62,We conducted a multi-centre observational study at a specialist maxillofacial unit in Germany enrolling patients with or,628,True,12.1716,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus (a potentially malignant ora",
63,We conducted a double-blind placebo-controlled trial at a rural primary care dental practice in China enrolling patients,583,True,7.4957,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with dental caries (tooth decay) in high-risk adults, stratified by lesion severity, mean age 72 years""}, ""suspicious_or_ma",
64,We conducted a single-arm pilot study at a rural primary care dental practice in Australia enrolling patients with oral ,606,True,13.0227,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus (a benign inflammatory oral condition), 633 participants enrolled via consecutive enrolment at a ru",
65,We conducted a multi-centre observational study at a university dental hospital in China enrolling patients with dental ,674,True,13.955,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
66,We conducted a multi-centre observational study at a tertiary referral cancer centre in South Korea enrolling patients w,661,True,7.4723,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral submucous fibrosis, a potentially malignan",
67,We conducted a pragmatic cluster RCT at a rural primary care dental practice in the United States enrolling patients wit,648,True,16.809,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
68,We conducted a randomised controlled trial at a community oral health clinic in the United States enrolling patients wit,640,True,7.8367,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral potentially malignant disorder (OPMD), inc",
69,We conducted a pragmatic cluster RCT at a rural primary care dental practice in South Korea enrolling patients with oral,633,True,10.1475,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus (a potentially malignant dis",
70,We conducted a retrospective case-control study at a specialist maxillofacial unit in China enrolling patients with oral,526,True,7.0922,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia, a potentially malignant oral ",
71,We conducted a randomised controlled trial at a rural primary care dental practice in Australia enrolling patients with ,637,True,10.424,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
72,We conducted a retrospective case-control study at a veterans' healthcare dental department in Australia enrolling patie,639,True,6.6258,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral squamous cell carcinoma (OSCC), stratified",
73,We conducted a cross-sectional survey at a municipal public health dental screening programme in Brazil enrolling patien,664,True,6.6339,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with verrucous carcinoma of the oral cavity; a sub-g",
74,We conducted a double-blind placebo-controlled trial at a university dental hospital in Sri Lanka enrolling patients wit,525,True,13.9387,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
75,We conducted a double-blind placebo-controlled trial at a specialist maxillofacial unit in Sri Lanka enrolling patients ,597,True,6.8774,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia recruited via population-based",
76,We conducted a double-blind placebo-controlled trial at a veterans' healthcare dental department in Brazil enrolling pat,657,True,4.7368,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with verrucous carcinoma of the oral cavity; a sub-g",
77,We conducted a single-arm pilot study at a rural primary care dental practice in Germany enrolling patients with recurre,550,True,6.1581,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with recurrent aphthous stomatitis (RAS), a benign condition causing recurrent mouth ulcers; 906 participants (674 female, ",
78,We conducted a randomised controlled trial at a specialist maxillofacial unit in Australia enrolling patients with oral ,554,True,11.9061,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral submucous fibrosis, a potentially malignan",
79,We conducted a retrospective case-control study at a rural primary care dental practice in Australia enrolling patients ,645,True,7.1075,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral submucous fibrosis (a potentially malignan",
80,We conducted a retrospective case-control study at a university dental hospital in China enrolling patients with oral le,625,True,5.6599,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral leukoplakia, a potentially malignant disor",
81,We conducted a retrospective case-control study at a specialist maxillofacial unit in Taiwan enrolling patients with ora,758,True,8.5345,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral potentially malignant disorder (OPMD), str",
82,We conducted a retrospective case-control study at a community oral health clinic in the United States enrolling patient,718,True,5.6996,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral squamous cell carcinoma (OSCC); a subgroup",
83,We conducted a single-arm pilot study at a community oral health clinic in India enrolling patients with verrucous carci,532,True,6.4349,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with verrucous carcinoma of the oral cavity, stratif",
84,We conducted a pragmatic cluster RCT at a specialist maxillofacial unit in the United Kingdom enrolling patients with ch,645,True,15.4071,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""A sub-group of 60 participants with high-grade dysplasia unde",
85,We conducted a double-blind placebo-controlled trial at a tertiary referral cancer centre in Brazil enrolling patients w,650,True,13.5901,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Primary enrolled population consists of patients with chronic periodontitis (n=151), a non-malignant periodontal condition, stratifi",
86,We conducted a multi-centre observational study at a university dental hospital in Australia enrolling patients with ora,597,True,8.6629,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus, a chronic inflammatory condition of the oral mucosa; 463 participants (296 female, 167 male; mean ",
87,We conducted a cross-sectional survey at a specialist maxillofacial unit in Taiwan enrolling patients with oral lichen p,610,True,12.4794,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus (a benign inflammatory condition), with a subgroup of 152 participants with high-grade dysplasia; m",
88,We conducted a double-blind placebo-controlled trial at a rural primary care dental practice in Germany enrolling patien,539,True,10.1727,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with oral lichen planus, a chronic inflammatory oral mucosal condition; concurrent malignancy was an exclusion criterion""},",
89,We conducted a prospective cohort study at a university dental hospital in Australia enrolling patients with recurrent a,655,True,12.1583,population,1,"{""population"": {""innocuous_lesions"": {""selected"": true, ""comment"": ""Patients with recurrent aphthous stomatitis recruited from a university dental hospital""}, ""suspicious_or_malignant_lesions"": {""sele",
90,We conducted a pragmatic cluster RCT at a specialist maxillofacial unit in South Korea enrolling patients with dental ca,688,True,15.0206,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""A sub-group of 37 participants with high-grade dysplasia unde",
91,We conducted a randomised controlled trial at a municipal public health dental screening programme in the United Kingdom,590,True,11.9931,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": false, ""comment"": """"}, ""healthy_without_lesions"": {""selected"": false, ""comment""",
92,We conducted a multi-centre observational study at a community oral health clinic in the United States enrolling patient,741,True,6.4277,population,1,"{""population"": {""innocuous_lesions"": {""selected"": false, ""comment"": """"}, ""suspicious_or_malignant_lesions"": {""selected"": true, ""comment"": ""Patients with oral potentially malignant disorders (OPMD), wi",
